,,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital,Grouped by hospital
"Surv, median [Q1,Q3]",54.0,,10 (1.0),7 (1.1),3 (2.8),,,
"Surv, median [Q1,Q3]",55.0,,9 (0.9),8 (1.3),1 (0.9),,,
"Surv, median [Q1,Q3]",56.0,,9 (0.9),9 (1.4),,,,
"Surv, median [Q1,Q3]",57.0,,10 (1.0),9 (1.4),1 (0.9),,,
"Surv, median [Q1,Q3]",58.0,,9 (0.9),9 (1.4),,,,
"Surv, median [Q1,Q3]",59.0,,10 (1.0),9 (1.4),1 (0.9),,,
"Surv, median [Q1,Q3]",6.0,,5 (0.5),4 (0.6),1 (0.9),,,
"Surv, median [Q1,Q3]",60.0,,11 (1.1),11 (1.8),,,,
"Surv, median [Q1,Q3]",61.0,,9 (0.9),8 (1.3),1 (0.9),,,
"Surv, median [Q1,Q3]",62.0,,8 (0.8),7 (1.1),1 (0.9),,,
"Surv, median [Q1,Q3]",63.0,,5 (0.5),3 (0.5),2 (1.9),,,
"Surv, median [Q1,Q3]",64.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",65.0,,6 (0.6),6 (1.0),,,,
"Surv, median [Q1,Q3]",66.0,,2 (0.2),2 (0.3),,,,
"Surv, median [Q1,Q3]",67.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",68.0,,3 (0.3),2 (0.3),1 (0.9),,,
"Surv, median [Q1,Q3]",69.0,,7 (0.7),6 (1.0),1 (0.9),,,
"Surv, median [Q1,Q3]",7.0,,7 (0.7),7 (1.1),,,,
"Surv, median [Q1,Q3]",70.0,,12 (1.2),10 (1.6),2 (1.9),,,
"Surv, median [Q1,Q3]",71.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",72.0,,8 (0.8),5 (0.8),3 (2.8),,,
"Surv, median [Q1,Q3]",73.0,,2 (0.2),1 (0.2),1 (0.9),,,
"Surv, median [Q1,Q3]",74.0,,6 (0.6),5 (0.8),1 (0.9),,,
"Surv, median [Q1,Q3]",75.0,,3 (0.3),3 (0.5),,,,
"Surv, median [Q1,Q3]",76.0,,7 (0.7),5 (0.8),2 (1.9),,,
"Surv, median [Q1,Q3]",77.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",78.0,,4 (0.4),3 (0.5),1 (0.9),,,
"Surv, median [Q1,Q3]",79.0,,10 (1.0),10 (1.6),,,,
"Surv, median [Q1,Q3]",8.0,,7 (0.7),6 (1.0),1 (0.9),,,
"Surv, median [Q1,Q3]",81.0,,3 (0.3),3 (0.5),,,,
"Surv, median [Q1,Q3]",83.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",84.0,,6 (0.6),6 (1.0),,,,
"Surv, median [Q1,Q3]",85.0,,6 (0.6),6 (1.0),,,,
"Surv, median [Q1,Q3]",86.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",87.0,,4 (0.4),3 (0.5),1 (0.9),,,
"Surv, median [Q1,Q3]",88.0,,4 (0.4),3 (0.5),1 (0.9),,,
"Surv, median [Q1,Q3]",89.0,,3 (0.3),3 (0.5),,,,
"Surv, median [Q1,Q3]",9.0,,6 (0.6),6 (1.0),,,,
"Surv, median [Q1,Q3]",90.0,,4 (0.4),3 (0.5),1 (0.9),,,
"Surv, median [Q1,Q3]",92.0,,4 (0.4),3 (0.5),1 (0.9),,,
"Surv, median [Q1,Q3]",93.0,,5 (0.5),5 (0.8),,,,
"Surv, median [Q1,Q3]",94.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",96.0,,4 (0.4),4 (0.6),,,,
"Surv, median [Q1,Q3]",97.0,,3 (0.3),2 (0.3),1 (0.9),,,
"Surv, median [Q1,Q3]",98.0,,5 (0.5),4 (0.6),1 (0.9),,,
"Surv, median [Q1,Q3]",99.0,,1 (0.1),1 (0.2),,,,
"Surv, median [Q1,Q3]",106.0,,2 (0.2),,2 (1.9),,,
"Surv, median [Q1,Q3]",122.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",123.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",124.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",126.0,,3 (0.3),,3 (2.8),,,
"Surv, median [Q1,Q3]",127.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",128.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",130.0,,2 (0.2),,2 (1.9),,,
"Surv, median [Q1,Q3]",132.0,,2 (0.2),,2 (1.9),,,
"Surv, median [Q1,Q3]",133.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",136.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",137.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",140.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",142.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",144.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",146.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",147.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",148.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",149.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",151.0,,2 (0.2),,2 (1.9),,,
"Surv, median [Q1,Q3]",155.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",157.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",160.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",161.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",80.0,,2 (0.2),,2 (1.9),,,
"Surv, median [Q1,Q3]",82.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",91.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",95.0,,1 (0.1),,1 (0.9),,,
"Surv, median [Q1,Q3]",0.1,,4 (0.4),,,4 (1.6),,
"Surv, median [Q1,Q3]",0.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",0.3,,4 (0.4),,,4 (1.6),,
"Surv, median [Q1,Q3]",0.4,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",0.5,,6 (0.6),,,6 (2.4),,
"Surv, median [Q1,Q3]",0.6,,8 (0.8),,,8 (3.2),,
"Surv, median [Q1,Q3]",0.7,,12 (1.2),,,12 (4.8),,
"Surv, median [Q1,Q3]",0.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",0.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",1.1,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",1.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",1.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",1.4,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",1.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",1.6,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",1.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",1.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",1.9,,4 (0.4),,,4 (1.6),,
"Surv, median [Q1,Q3]",10.3,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",10.4,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",11.1,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",11.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",11.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",11.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",11.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",12.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",12.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",12.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",12.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",12.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",12.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",13.2,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",13.3,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",13.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",14.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",14.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",14.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",15.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",15.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",15.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",15.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",15.8,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",16.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",16.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",16.6,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",16.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",16.8,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",17.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",17.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",17.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",17.8,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",18.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",18.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",18.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",18.7,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",18.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",19.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",19.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",19.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",19.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",2.2,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",2.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",20.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",21.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",21.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",21.8,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",23.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",23.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",23.7,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",23.8,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",23.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",24.1,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",24.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",24.7,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",24.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",25.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",25.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",26.2,,4 (0.4),,,4 (1.6),,
"Surv, median [Q1,Q3]",26.3,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",26.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",26.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",26.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",27.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",28.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",28.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",28.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",29.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",29.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",29.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",3.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",3.4,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",3.5,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",3.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",3.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",30.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",30.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",30.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",30.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",30.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",31.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",31.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",32.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",32.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",32.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",32.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",33.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",33.5,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",34.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",34.2,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",34.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",35.4,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",35.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",35.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",35.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",36.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",36.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",36.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",37.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",37.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",37.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",38.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",38.8,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",4.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",4.3,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",4.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",4.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",4.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",40.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",41.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",41.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",41.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",42.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",42.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",43.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",43.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",43.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",44.7,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",5.1,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",5.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",5.6,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",5.8,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",5.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",6.9,,3 (0.3),,,3 (1.2),,
"Surv, median [Q1,Q3]",7.1,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",7.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",7.3,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",7.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",7.6,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",8.2,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",8.9,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",9.1,,2 (0.2),,,2 (0.8),,
"Surv, median [Q1,Q3]",9.4,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",9.5,,1 (0.1),,,1 (0.4),,
"Surv, median [Q1,Q3]",9.6,,2 (0.2),,,2 (0.8),,
"hospital, n (%)",AMC,0,627 (63.4),627 (100.0),,,<0.001,Chi-squared
